date,demand
2020/1/1,0.00 
2020/1/2,0.00 
2020/1/3,0.00 
2020/1/4,0.00 
2020/1/5,0.00 
2020/1/6,0.00 
2020/1/7,0.00 
2020/1/8,0.00 
2020/1/9,0.00 
2020/1/10,0.00 
2020/1/11,0.00 
2020/1/12,0.00 
2020/1/13,0.00 
2020/1/14,0.00 
2020/1/15,0.00 
2020/1/16,0.00 
2020/1/17,0.00 
2020/1/18,0.00 
2020/1/19,0.00 
2020/1/20,0.00 
2020/1/21,0.00 
2020/1/22,0.00 
2020/1/23,0.00 
2020/1/24,0.00 
2020/1/25,0.00 
2020/1/26,0.00 
2020/1/27,0.00 
2020/1/28,0.00 
2020/1/29,0.00 
2020/1/30,0.00 
2020/1/31,0.00 
2020/2/1,0.00 
2020/2/2,0.00 
2020/2/3,0.00 
2020/2/4,0.00 
2020/2/5,0.00 
2020/2/6,0.00 
2020/2/7,0.00 
2020/2/8,0.00 
2020/2/9,0.00 
2020/2/10,0.00 
2020/2/11,0.00 
2020/2/12,0.00 
2020/2/13,0.00 
2020/2/14,0.00 
2020/2/15,0.00 
2020/2/16,0.00 
2020/2/17,0.00 
2020/2/18,0.00 
2020/2/19,0.00 
2020/2/20,0.00 
2020/2/21,0.00 
2020/2/22,0.00 
2020/2/23,0.00 
2020/2/24,0.00 
2020/2/25,0.00 
2020/2/26,0.00 
2020/2/27,0.00 
2020/2/28,0.00 
2020/2/29,0.00 
2020/3/1,0.00 
2020/3/2,0.00 
2020/3/3,0.00 
2020/3/4,0.00 
2020/3/5,0.00 
2020/3/6,0.00 
2020/3/7,0.00 
2020/3/8,0.00 
2020/3/9,0.00 
2020/3/10,0.00 
2020/3/11,0.00 
2020/3/12,0.00 
2020/3/13,0.00 
2020/3/14,0.00 
2020/3/15,0.00 
2020/3/16,0.00 
2020/3/17,0.00 
2020/3/18,0.00 
2020/3/19,0.00 
2020/3/20,0.00 
2020/3/21,0.00 
2020/3/22,0.00 
2020/3/23,0.00 
2020/3/24,0.00 
2020/3/25,0.00 
2020/3/26,0.00 
2020/3/27,0.00 
2020/3/28,0.00 
2020/3/29,0.00 
2020/3/30,0.00 
2020/3/31,0.00 
2020/4/1,0.00 
2020/4/2,0.00 
2020/4/3,0.00 
2020/4/4,0.00 
2020/4/5,0.00 
2020/4/6,0.00 
2020/4/7,0.00 
2020/4/8,0.00 
2020/4/9,0.00 
2020/4/10,0.00 
2020/4/11,0.00 
2020/4/12,0.00 
2020/4/13,0.00 
2020/4/14,0.00 
2020/4/15,0.00 
2020/4/16,0.00 
2020/4/17,0.00 
2020/4/18,0.00 
2020/4/19,0.00 
2020/4/20,0.00 
2020/4/21,0.00 
2020/4/22,0.00 
2020/4/23,0.00 
2020/4/24,0.00 
2020/4/25,0.00 
2020/4/26,51.98 
2020/4/27,0.00 
2020/4/28,0.00 
2020/4/29,0.00 
2020/4/30,0.00 
2020/5/1,0.00 
2020/5/2,0.00 
2020/5/3,0.00 
2020/5/4,0.00 
2020/5/5,0.00 
2020/5/6,0.00 
2020/5/7,0.00 
2020/5/8,0.00 
2020/5/9,0.00 
2020/5/10,0.00 
2020/5/11,0.00 
2020/5/12,0.00 
2020/5/13,0.00 
2020/5/14,0.00 
2020/5/15,0.00 
2020/5/16,0.00 
2020/5/17,0.00 
2020/5/18,0.00 
2020/5/19,0.00 
2020/5/20,0.00 
2020/5/21,0.00 
2020/5/22,0.00 
2020/5/23,0.00 
2020/5/24,0.00 
2020/5/25,0.00 
2020/5/26,46.39 
2020/5/27,0.00 
2020/5/28,0.00 
2020/5/29,0.00 
2020/5/30,0.00 
2020/5/31,0.00 
2020/6/1,0.00 
2020/6/2,0.00 
2020/6/3,0.00 
2020/6/4,0.00 
2020/6/5,0.00 
2020/6/6,0.00 
2020/6/7,0.00 
2020/6/8,9.29 
2020/6/9,110.19 
2020/6/10,92.43 
2020/6/11,0.00 
2020/6/12,0.00 
2020/6/13,0.00 
2020/6/14,0.00 
2020/6/15,914.21 
2020/6/16,0.00 
2020/6/17,0.00 
2020/6/18,0.00 
2020/6/19,0.00 
2020/6/20,0.00 
2020/6/21,0.00 
2020/6/22,0.00 
2020/6/23,53.00 
2020/6/24,772.90 
2020/6/25,97.44 
2020/6/26,234.05 
2020/6/27,639.44 
2020/6/28,1017.56 
2020/6/29,7.51 
2020/6/30,0.00 
2020/7/1,0.00 
2020/7/2,0.00 
2020/7/3,0.00 
2020/7/4,0.00 
2020/7/5,0.00 
2020/7/6,0.00 
2020/7/7,0.00 
2020/7/8,0.00 
2020/7/9,0.00 
2020/7/10,114.91 
2020/7/11,0.00 
2020/7/12,0.00 
2020/7/13,60.82 
2020/7/14,142.72 
2020/7/15,38.87 
2020/7/16,0.09 
2020/7/17,282.98 
2020/7/18,0.00 
2020/7/19,0.00 
2020/7/20,64.84 
2020/7/21,0.00 
2020/7/22,386.44 
2020/7/23,55.27 
2020/7/24,65.78 
2020/7/25,125.96 
2020/7/26,0.00 
2020/7/27,2852.31 
2020/7/28,81.21 
2020/7/29,113.11 
2020/7/30,2.34 
2020/7/31,0.00 
2020/8/1,0.00 
2020/8/2,0.00 
2020/8/3,0.00 
2020/8/4,0.00 
2020/8/5,0.00 
2020/8/6,0.00 
2020/8/7,0.00 
2020/8/8,0.00 
2020/8/9,0.00 
2020/8/10,0.00 
2020/8/11,0.00 
2020/8/12,0.00 
2020/8/13,0.00 
2020/8/14,0.00 
2020/8/15,0.00 
2020/8/16,0.00 
2020/8/17,0.00 
2020/8/18,0.00 
2020/8/19,0.60 
2020/8/20,4.00 
2020/8/21,0.00 
2020/8/22,0.00 
2020/8/23,76.02 
2020/8/24,710.25 
2020/8/25,349.43 
2020/8/26,122.26 
2020/8/27,102.40 
2020/8/28,452.53 
2020/8/29,0.00 
2020/8/30,0.00 
2020/8/31,0.00 
2020/9/1,0.00 
2020/9/2,0.00 
2020/9/3,0.00 
2020/9/4,0.00 
2020/9/5,0.00 
2020/9/6,0.00 
2020/9/7,0.00 
2020/9/8,0.00 
2020/9/9,201.29 
2020/9/10,0.00 
2020/9/11,0.00 
2020/9/12,0.00 
2020/9/13,0.00 
2020/9/14,0.00 
2020/9/15,0.00 
2020/9/16,0.00 
2020/9/17,0.00 
2020/9/18,0.00 
2020/9/19,0.00 
2020/9/20,0.00 
2020/9/21,0.00 
2020/9/22,69.91 
2020/9/23,200.80 
2020/9/24,294.51 
2020/9/25,8.00 
2020/9/26,150.60 
2020/9/27,58.64 
2020/9/28,0.00 
2020/9/29,0.00 
2020/9/30,0.00 
2020/10/1,0.00 
2020/10/2,0.00 
2020/10/3,0.00 
2020/10/4,0.00 
2020/10/5,0.00 
2020/10/6,0.00 
2020/10/7,0.00 
2020/10/8,0.00 
2020/10/9,0.00 
2020/10/10,0.00 
2020/10/11,0.00 
2020/10/12,123.29 
2020/10/13,74.08 
2020/10/14,587.92 
2020/10/15,3.50 
2020/10/16,0.00 
2020/10/17,0.00 
2020/10/18,0.00 
2020/10/19,0.38 
2020/10/20,187.55 
2020/10/21,0.00 
2020/10/22,70.72 
2020/10/23,0.00 
2020/10/24,0.00 
2020/10/25,0.00 
2020/10/26,0.00 
2020/10/27,0.00 
2020/10/28,0.00 
2020/10/29,0.00 
2020/10/30,0.00 
2020/10/31,0.00 
2020/11/1,0.00 
2020/11/2,0.00 
2020/11/3,0.00 
2020/11/4,0.00 
2020/11/5,495.09 
2020/11/6,91.88 
2020/11/7,0.00 
2020/11/8,0.00 
2020/11/9,101.90 
2020/11/10,359.51 
2020/11/11,1644.92 
2020/11/12,608.07 
2020/11/13,0.00 
2020/11/14,0.00 
2020/11/15,0.00 
2020/11/16,0.00 
2020/11/17,56.44 
2020/11/18,485.46 
2020/11/19,56.82 
2020/11/20,25.81 
2020/11/21,0.00 
2020/11/22,0.00 
2020/11/23,337.31 
2020/11/24,1006.41 
2020/11/25,380.86 
2020/11/26,177.89 
2020/11/27,3.00 
2020/11/28,0.00 
2020/11/29,0.00 
2020/11/30,0.00 
2020/12/1,0.00 
2020/12/2,0.00 
2020/12/3,0.00 
2020/12/4,0.00 
2020/12/5,0.00 
2020/12/6,0.00 
2020/12/7,305.65 
2020/12/8,8.77 
2020/12/9,389.48 
2020/12/10,78.54 
2020/12/11,42.21 
2020/12/12,2097.76 
2020/12/13,0.00 
2020/12/14,44.78 
2020/12/15,0.00 
2020/12/16,134.82 
2020/12/17,6.00 
2020/12/18,92.06 
2020/12/19,13.90 
2020/12/20,0.00 
2020/12/21,157.35 
2020/12/22,44.07 
2020/12/23,180.34 
2020/12/24,5.00 
2020/12/25,0.00 
2020/12/26,0.00 
2020/12/27,0.00 
2020/12/28,0.00 
2020/12/29,0.00 
2020/12/30,0.00 
2020/12/31,0.00 
2021/1/1,0.00 
2021/1/2,0.00 
2021/1/3,0.00 
2021/1/4,0.00 
2021/1/5,0.00 
2021/1/6,0.00 
2021/1/7,0.00 
2021/1/8,0.00 
2021/1/9,0.00 
2021/1/10,0.00 
2021/1/11,0.00 
2021/1/12,0.00 
2021/1/13,0.00 
2021/1/14,0.00 
2021/1/15,0.00 
2021/1/16,0.00 
2021/1/17,0.00 
2021/1/18,0.00 
2021/1/19,0.00 
2021/1/20,0.00 
2021/1/21,0.00 
2021/1/22,0.00 
2021/1/23,0.00 
2021/1/24,0.00 
2021/1/25,0.00 
2021/1/26,0.00 
2021/1/27,0.00 
2021/1/28,0.00 
2021/1/29,0.00 
2021/1/30,0.00 
2021/1/31,0.00 
